Title,Founder,Site URL,Categories
Anatolian Technologies,Kamuran Candan,https://anatoliantechnologies.com/,"['doğal dil i̇şleme', 'genel']"
Apollon Engine,Alperen Taşyürek,https://apollonengine.com/en,"['makine öğrenmesi', 'görüntü i̇şleme', 'yaratıcı endüstiler']"
Archmir AI,"İlker Kutsal, Mustafa Çakır, Talha Saruhan, Utku Eroğlu",http://www.archmir.ai/,['görüntü i̇şleme']
ArgosAI,Merih Alphan Karadeniz,https://www.argosai.com/,['görüntü i̇şleme']
Artifica,"Yusuf Sadi Gürsoy, Tuncay Elvanağaç",https://artifica.io/,['makine öğrenmesi']
Artinets,Betül Ay,https://artinets.com/,"['görüntü i̇şleme', 'makine öğrenmesi']"
artlabs,"Uğur Yekta Başak (Co-Founder & CEO), Mahdi Kazempour (Co-Founder & CRO), Sercan Demircan (Co-Founder & CTO)",https://artlabs.ai/,"['görüntü i̇şleme', 'ar/vr']"
Arventek,"Merve Mança, Sedat Mança",https://www.arventek.com/tr/ana-sayfa/,['öngörü ve veri analitiği']
Arvis,Gülhan Ertürk Akgül,http://www.arvisteknoloji.com/,"['görüntü i̇şleme', 'makine öğrenmesi']"
Asius,"Hüseyin Şıhmanoğlu, Mubin Fakıoğlu, Mustafa Var",https://www.asius.com.tr/,['nesnelerin i̇nterneti']
ATLAS Robotik,Atlas Inc (USA),https://www.atlas-robotics.com/,['otonom araçlar']
Augelab,Yunus Emre Çelik,https://www.augelab.com/,['görüntü i̇şleme']
Ayvos,Eray Hangül,https://www.ayvos.com/,['görüntü i̇şleme']
B2 yazılım,Abdurrahman Karaahmetoğlu,http://b2yazilim.com/,['optimizasyon']
B2METRIC AI,Murat Hacıoğlu,https://www.b2metric.com/,['makine öğrenmesi']
Base64.ai,Ozan Eren Bilgen,https://base64.ai/,"['rpa(robotik süreç otomasyonu)', 'görüntü i̇şleme']"
BeforeSunset AI,"Elif Duran, Ceylan Ersoy, Batuhan Ulaşan",https://www.beforesunset.ai/,['generative ai']
Beynex,"Prof. Türker Şahiner, Sarp Akgönül, Enis Hisarlı, Emre Sahiner, Tolga Atam, Ogulcan Bagatir",https://beynex.com/,"['makine öğrenmesi', 'doğal dil i̇şleme', 'öngörü ve veri analitiği', 'chatbot ve diyalogsal yapay zeka', 'görüntü i̇şleme']"
Bimetri,Murat Özdemir,https://www.bimetri.com/,"['akıllı platformlar', 'nesnelerin i̇nterneti']"
Bir Bilene Sor,Gökhan Alpaslan,https://www.birbilenesor.com.tr/,['doğal dil i̇şleme']
Bomensoft,Bora Özdemir,https://bomensoft.co.uk/,['makine öğrenmesi']
Bon Intelligence,"Onur Isik, Serhat Unsal",https://www.bonintel.com/tr,['öngörü ve veri analitiği']
Bootmaster.io,Kerem Çalışkan,https://botmaster.io/,['chatbot ve diyalogsal yapay zeka']
Botgate AI,Barış Gülbaş,https://botgate.ai/,['chatbot ve diyalogsal yapay zeka']
Bottobo Robotics,"Burhan Turgut Ulutürk, Ali Koçer, Emre Sebat",https://www.bottobo.com/,['otonom araçlar']
Bridge-soft,Berkay KOÇAK,https://www.bridge-soft.com/,['görüntü i̇şleme']
Buck.ai,Utku Kaynar,https://buck.ai/,['rpa(robotik süreç otomasyonu)']
Buluttan,"Güven Bölükbaşı, Gökmen Güven, Mehmet Kıral",https://www.buluttan.com/,"['makine öğrenmesi', 'optimizasyon', 'görüntü i̇şleme', 'nesnelerin i̇nterneti']"
Bunsar,Soner Demiray,http://www.bunsar.com/,['görüntü i̇şleme']
Catchit,"Mehmet Ali Erdal, Barış Yoluç ve Kayhan Imıl",http://catchit.io/,"['genel', 'üretim', 'perakende', 'bankacılık', 'sigortacılık', 'e-ticaret', 'e-ticaret', 'otomotiv', 'hukuk', 'tarım', 'akıllı şehir', 'enerji', 'sürdürülebilirlik', 'sağlık', 'telekom', 'savunma', 'eğitim', 'lojistik', 'güvenlik', 'siber güvenlik', 'içinde arama kutusu olan tüm sektörlerden ticari veya kurumsal web siteleri']"
Co-one,"Mert Menekşe, Arman Kayhan",https://co-one.co/,['öngörü ve veri analitiği']
Cognitiwe,Attila Algan,https://cognitiwe.com/,['görüntü i̇şleme']
Consciouslab,Kayhan Dural,https://consciouslab.io/,"['doğal dil i̇şleme', 'chatbot ve diyalogsal yapay zeka', 'görüntü i̇şleme', 'nesnelerin i̇nterneti']"
Coredinat,İhsan Polat,https://www.coredinat.com/,"['makine öğrenmesi', 'öngörü ve veri analitiği']"
Cosure,"Şule Şentürk, Sema Tüfekçiler",https://cosure.co/,['makine öğrenmesi']
Counterfake,Kurucu Ortaklar: Furkan Arslan ve Batuhan Özcan,https://counterfake.ai/,['görüntü i̇şleme']
Crait AI,"Kurucu Ortaklar: Safiye Dinçtürk Turgut, Kaan Aytekin",https://www.crait.it/,"['e-ticaret', 'e-ticaret']"
CranioCatch,"İbrahim Şevki Bayrakdar, Ahmet Faruk Aslan",https://www.craniocatch.com/,['görüntü i̇şleme']
Crede,Ahmet Kocamaz,https://crededata.com/,"['optimizasyon', 'öngörü ve veri analitiği']"
Crossfirelab Yazılım,Alper Eğitmen & Salih Yıldırım,https://www.crossfirelab.com/,"['makine öğrenmesi', 'optimizasyon', 'doğal dil i̇şleme', 'öngörü ve veri analitiği', 'görüntü i̇şleme', 'siber güvenlik']"
Curiosity Tech,Can Göymen,https://curiosity.tech/,"['genel', 'e-ticaret', 'sürdürülebilirlik', 'eğitim']"
CY Vision,"Hakan Ürey, Orkun Oğuz",https://cyvision.com/,['arama motoru ve arama asistanı']
DataFirst Bilişim Hizmetleri,Ulaş Dündar,https://datafirst.store/,"['makine öğrenmesi', 'optimizasyon', 'görüntü i̇şleme', 'quantum hesaplama', 'quantum makina öğrenmesi', 'quantum optimizasyon']"
Datafors,"Yavuz Acar, Recep Minga",https://datafors.com/,"['makine öğrenmesi', 'optimizasyon', 'görüntü i̇şleme']"
datagram,"Veysel Güren, Ecem Avcı, Cemal Can Bekmez",https://www.datagram.ai/,['öngörü ve veri analitiği']
Dataguess Teknoloji,"Yunus Altunbıçak, Uğur Canbaz, Eren Taş, İsmail İbiloğlu",https://www.dataguess.com/,['görüntü i̇şleme']
datamode,Yavuz Tunç,https://www.linkedin.com/company/datamode/about/,"['makine öğrenmesi', 'optimizasyon', 'öngörü ve veri analitiği']"
Datasance,"Emirhan Durmuş, Oğuzhan Herkiloğlu, Ali Serdar Atalay, Elif Çiçek, Berk Turan",https://www.datasance.com/,['akıllı platformlar']
Datascope,Ali Yamuç,http://datascope.ai/,['akıllı platformlar']
Datateam,"İlhan Ercan, Harun Topuz, Erkan Karameşe",https://www.datateam.com.tr/,"['öngörü ve veri analitiği', 'optimizasyon']"
De Jure AI,"Akif Çimen, Yusuf Sarıgöz, Mahinur Arpacıoğlu Çimen",https://www.dejure.ai/,['arama motoru ve arama asistanı']
Decktopus,Noyan Alperen İdin,https://www.decktopus.com/,['genel']
Deep Cloud Labs,Binnur Kurt,https://www.deepcloudlabs.com/,['makine öğrenmesi']
Deepsport,Kamil Canberk Atik ve Bedirhan Selvi,https://deepsportapp.com/,['görüntü i̇şleme']
Deepware – Zemana,Yağızhan Atmaca,https://deepware.ai/,"['görüntü i̇şleme', 'makine öğrenmesi']"
Delivers AI,"Ali Kutay Yaralı, ve Oral Yiğitkuş",https://delivers.ai/,['otonom araçlar']
DelphiSonic,Ali Acur,https://delphisonic.com/,['öngörü ve veri analitiği']
Diatics,"Ali aydın Koç, Osman bahri Vargeloğlu",https://diatics.com/,"['nesnelerin i̇nterneti', 'akıllı platformlar']"
Diattack,"“Ali aydın Koç, Co-Founder | data Scientist
Osman bahri Vargeloğlu, Co-Founder | data Scientist",https://www.diattack.com/,"['makine öğrenmesi', 'öngörü ve veri analitiği', 'görüntü i̇şleme']"
Distant tech,Deniz Özcan,https://www.distanttech.com/,['görüntü i̇şleme']
Divit,Muhittin Gökmen,http://divit.com.tr/,['görüntü i̇şleme']
Eatron,Umut Genç,https://eatron.com/,"['otonom araçlar', 'makine öğrenmesi']"
Ecl.one,Can Kaynak,https://www.ecl.one/,['rpa(robotik süreç otomasyonu)']
Eksi16 Teknoloji,"Murat Kayacık, Halil Muslu",http://eksi16.com/,['görüntü i̇şleme']
Empa,Vural Akman,https://empa.com/,"['görüntü i̇şleme', 'nesnelerin interneti']"
Enbiosis,Ömer Özkan,https://www.enbiosis.com/,['makine öğrenmesi']
Enhencer,"Kurucu Ortaklar: Prof. Barış Sürücü, Olcay Öztürk, Serkan Oğuz ve Oğuz Artıran",https://enhencer.com/,['makine öğrenmesi']
Eventgates,Kerem Özsü,https://www.eventgates.com/,['görüntü i̇şleme']
Exairon,"Utkan Şanda, Fatih Taşhan, Engin Öcal",https://exairon.com/,['chatbot ve diyalogsal yapay zeka']
Eye Checkup,Rim Khazin,https://www.eye-checkup.com/,['görüntü i̇şleme']
Eyedius,,https://eyedius.com/,[]
F-RAY,Mehmet Eray & Erdem Uzun,https://jetscoring.com/,"['makine öğrenmesi', 'optimizasyon', 'doğal dil i̇şleme', 'öngörü ve veri analitiği', 'rpa(robotik süreç otomasyonu)']"
Faladdin,Sertaç Taşdelen,https://www.faladdin.com/,['chatbot ve diyalogsal yapay zeka']
From Your Eyes,Zülal Tannur,https://turkiye.ai/portfolio/from-your-eyes/xx,"['makine öğrenmesi', 'optimizasyon', 'doğal dil i̇şleme', 'akıllı platformlar', 'öngörü ve veri analitiği', 'görüntü i̇şleme']"
GenRPA,Fırat Gedikli,https://genrpa.com/,['rpa(robotik süreç otomasyonu)']
Gitek Vision,Dr. Hakan AKTAŞ,https://www.gitekvision.com/,['görüntü i̇şleme']
Glosa,Adem Çağlayan,http://glosa.ai/,['doğal dil i̇şleme']
Guren Cyber,Sarp Gürenli,https://www.gurencyber.com/,"['öngörü ve veri analitiği', 'optimizasyon']"
HeviAI,"Kurucu Ortaklar: Deniz Aliş, Mert Çelenk, Mert Yergin, Erdem Yaman",https://hevi.ai/,['görüntü i̇şleme']
Hiddenslate,"Kurucu Ortaklar: İsmail Uzun, Ekrem Aksoy, Yakup Genç",https://hiddenslate.com/,"['doğal dil i̇şleme', 'öngörü ve veri analitiği']"
Homster,Barış Bal – Co-founder & CEO; Arda Kaya – Co-founder & CTO,https://homster.com/,"['perakende', 'e-ticaret', 'e-ticaret', 'i̇nşaat', 'emlak', 'i̇ç mimari tasarım']"
Hummingdrone,"Orkun Aşa, İpek Görgeç",https://hummingdrone.co/,['akıllı platformlar']
Ingosa,Gökçe Duman ve Dürin Artuk,https://ingosa.ai/,['chatbot ve diyalogsal yapay zeka']
Inovako,Emin Ekşi,https://inovako.com/,"['görüntü i̇şleme', 'öngörü ve veri analitiği']"
Insumo,"Buşra Özgümüş, Ceri Cukran, Cefi Menda",https://insumo.io/,['makine öğrenmesi']
Intelivus,"Gürcan YÜCEL, Tolga Eşiz, Taner Akdeniz",https://www.paperwork.com.tr/,['doğal dil i̇şleme']
Intenseye,Sercan Esen,https://www.intenseye.com/,['görüntü i̇şleme']
Intersection,"Hasan Candan , Murat Şahin",https://juphy.com/,['optimizasyon']
IWRobotx,Mustafa Erol,https://www.iwrobotx.com/,['makine öğrenmesi']
iyiMetal,"Sinan Zabunoğlu, Güney Akdaş",https://turkiye.ai/portfolio/iyimetal/xx,"['makine öğrenmesi', 'optimizasyon', 'akıllı platformlar', 'görüntü i̇şleme', 'nesnelerin i̇nterneti']"
Jelibot,Deniz Gül Özcan,https://www.jelibot.com/,['chatbot ve diyalogsal yapay zeka']
JetLink,Ozan Can Köseley ve Kaan Tezgel,https://www.jetlink.io/,['chatbot ve diyalogsal yapay zeka']
Juphy,"Alara Eren İplikçioğlu, Osman Erdi Balcıoğlu ve Eyüp İbişoğlu",https://juphy.com/,['chatbot ve diyalogsal yapay zeka']
Karmen.ai,"Gökmen Bolayır, Cevdet Ertürk, Merthan Kuzeyli",https://www.karmen.ai/,"['makine öğrenmesi', 'görüntü i̇şleme']"
Kavaken,"Bora Tokyay, Oğuz Silahtar",https://www.kavaken.com/,['akıllı platformlar']
Khenda,Çağkan Ekici ve Aykan Ekici,https://www.khenda.com/,['görüntü i̇şleme']
Kimola,Mustafa Savaş,https://kimola.com/,"['makine öğrenmesi', 'öngörü ve veri analitiği', 'arama motoru ve arama asistanı', 'doğal dil i̇şleme']"
Klassifier,Engin Özer,https://klassifier.com/,"['makine öğrenmesi', 'doğal dil i̇şleme', 'öngörü ve veri analitiği']"
Kognitek,Taner Akdeniz,https://www.kognitek.com.tr/,"['doğal dil i̇şleme', 'makine öğrenmesi']"
Kronnika,Kıvanç Sürel ve Barış Ala,https://kronnika.com/tr/anasayfa/,['rpa(robotik süreç otomasyonu)']
Kuasar Video,"Ali Osman Alpagu, Muhammed Ali Bulut",https://www.kuasarvideo.com/,"['öngörü ve veri analitiği', 'görüntü i̇şleme']"
Lacitek,Gökhan Akın Şeker,https://www.lacitek.com/,['makine öğrenmesi']
Lagom,Furkan Kamacı,https://www.linkedin.com/company/lagom-technologies/,['doğal dil i̇şleme']
Le Chatbot,Kurucu Ortaklar: Umut Karlıklı / Çağatay Öztürk,https://lechatbot.com/,['chatbot ve diyalogsal yapay zeka']
Leo Drive,Samet Kütük,http://www.leomuhendislik.com/,['otonom araçlar']
Lifemote,"Dr. Eren Soyak, Barış Uyar, Engin Doğusoy",https://lifemote.com/,['öngörü ve veri analitiği']
Link Robotik,Berk TURANLI ve Mert TURANLI,https://www.linkrobotik.com/,['otonom araçlar']
Lisa AI,Tarık Demir,https://www.asklisa.ai/,['görüntü i̇şleme']
Lugath,Orçun Ülgen – Burak Arslan,https://www.lugath.com/,"['makine öğrenmesi', 'doğal dil i̇şleme']"
Lumnion,Aren Haddeler,https://lumnion.com/,['öngörü ve veri analitiği']
Machinetutors,Eray Berger,https://www.machinetutors.com/,"['görüntü i̇şleme', 'makine öğrenmesi', 'doğal dil i̇şleme']"
Magnus,Esra Ulaşan,https://getmagnus.com/,['makine öğrenmesi']
MamHighTech Mühendislik,Leven Yavuz,https://turkiye.ai/portfolio/mamhightech-muhendislik/xx,"['makine öğrenmesi', 'görüntü i̇şleme', 'nesnelerin i̇nterneti']"
MAP360,Özgün İnceoğlu,https://turkiye.ai/portfolio/map360/xx,"['makine öğrenmesi', 'akıllı platformlar', 'öngörü ve veri analitiği']"
Masraff,Begül Eray Sezgin,https://www.masraff.co/,['görüntü i̇şleme']
Mechanica,Mine Utkan Çolak,https://www.mechanicairev.com/,['makine öğrenmesi']
Meganova,Mert Uzun,http://www.meganova.com.tr/,['görüntü i̇şleme']
Meshine Tech,"Kurucu Ortaklar: Burak YÖRÜK, Kadir ÖZGÜN, Esad DAĞ, Yunus Emre AŞKIN",https://www.meshine.tech/tr/,['görüntü i̇şleme']
Metaform / PrimeSearch,Mehmet Ali Erdal,https://www.metaform.com.tr/,['arama motoru ve arama asistanı']
Metisbot,Ahmet Bahar,https://metisbot.net/,['chatbot ve diyalogsal yapay zeka']
Miletos,Berkin Malkoç,https://miletos.co/en,['görüntü i̇şleme']
Mirage Vision,Ergin Selim Gönen,https://www.mirage.vision/,['görüntü i̇şleme']
Momentum BT,Ufuk Peker,https://www.momentumbt.com/,['rpa(robotik süreç otomasyonu)']
Mono Analytics,Yusuf Akgündüz,https://monoanalytics.com/,"['optimizasyon', 'öngörü ve veri analitiği']"
Monopayments,Hüseyin Mert,https://monopayments.com/,['makine öğrenmesi']
Monospect,Can Göçmenoğlu,https://monospect.com/,"['doğal dil i̇şleme', 'ar/vr']"
Monument,Ercan Erciyes,https://getmonument.com/,['görüntü i̇şleme']
Moobi,Umut Köseoğlu,https://moobi.com.tr/,['optimizasyon']
Moveon,Ömer Faruk Koç,https://www.moveon.ai/,"['görüntü i̇şleme', 'nesnelerin interneti', 'otonom araçlar']"
Myth.Ai,Özgecan Üstgül,https://www.myth-ai.com/,"['makine öğrenmesi', 'görüntü i̇şleme']"
Nava,"Kurucu Ortaklar: Damla Dokuzoğlu, Burkay Sucu, Ahmet Rıdvan Potur, Kıvaç Kamay",https://appnava.com/,['makine öğrenmesi']
Nerodata,Hasan Can Saral,https://nerodata.com/tr,['makine öğrenmesi']
New Senses Uzay Teknoloji ve Sağlık Araştırmaları,Oğuzhan Aydemir,https://newsenses.org/,['doğal dil i̇şleme']
Nexizon,Berkehan Türk ve Çağlar Uslu,https://www.nexizon.com.tr/,['görüntü i̇şleme']
Next AI,Muhammet Ali Taşkın,https://nextveri.com/,"['makine öğrenmesi', 'optimizasyon', 'öngörü ve veri analitiği']"
Next Geo,"Fevzi Babalık, Ulaş Ayyıldız, Güven Değirmenci",https://nextgeography.com/,"['perakende', 'bankacılık', 'otomotiv', 'enerji', 'telekom']"
Novadsa,Burak Özgen Güner,https://www.novadsa.com/,"['öngörü ve veri analitiği', 'optimizasyon']"
Novus Technologies,"Egehan Asad, Vorga Can, Ata Uslu, Ahmet Gülek ve Ekin Akyürek",https://novuswriter.ai/,"['makine öğrenmesi', 'doğal dil i̇şleme']"
Octai,"Mert Tahta, Davut Polat",https://octai.com/,['öngörü ve veri analitiği']
Octo,"Özer Akıncı, Mustafa Bilge, Muhammed Yeşilyurt, Emrullah Saku, Berkant Aydın, Oğuzhan Akın",https://www.getocto.com/,['öngörü ve veri analitiği']
Ollang,"Kurucu Ortaklar: Ebru Yıldırım, Aziz Ulak",https://www.ollang.com/,['makine öğrenmesi']
Oneriver,"Kurucu Ortaklar: Burak Arslanpay, Mert Ülkgün",https://www.oneriver.co/,['makine öğrenmesi']
Onicorn,Gökhan Akar,https://www.onicorn.com.tr/,['rpa(robotik süreç otomasyonu)']
Optiwisdom,Şadi Evren Şeker,https://optiwisdom.com/,['makine öğrenmesi']
Optiyol,"Tuba Gözbaşı, Ozan Gözbaşı ve Turan Özen",https://www.optiyol.com/,['optimizasyon']
Organon Analytics,Emrah Anayurt,http://www.organonanalytics.com/,['öngörü ve veri analitiği']
Ortus,Onur Doğan,https://www.ortus4c.com/,['chatbot ve diyalogsal yapay zeka']
Papirus Digital,"Özkan Küçük, Sami Çetintaş, Osman Çalık",https://papirusdigital.com/,['görüntü i̇şleme']
Parabol Yazılım,Metin Barış,https://www.paraboly.com/,"['öngörü ve veri analitiği', 'nesnelerin interneti']"
Pdmechanics,Mehmet Can Uslu,https://pdmechanics.com/,"['makine öğrenmesi', 'öngörü ve veri analitiği']"
Phexum,Semih Yılmaz,https://www.phexum.com/,['doğal dil i̇şleme']
PhiTech Bioinformatics,"Dr. Saliha Durmuş, Prof. Dr. Tunahan Çakır, Prof. Dr. Fatih Erdoğan Sevilgen",https://phitech.bio/,['öngörü ve veri analitiği']
Pi Robotik,"Mustafa Sarı, Mehmet Ekin",https://www.pirobotik.com/,['görüntü i̇şleme']
Picussoft,Onur Avunduk,https://picussoft.com/,['öngörü ve veri analitiği']
Pivony,Emre Çalışır,https://pivony.com/,"['öngörü ve veri analitiği', 'doğal dil i̇şleme']"
pixel cybernetics,Dr. Evren Dağlarlı,https://www.pixelcybernetics.com/,['otonom araçlar']
PixlData,Onur Poyraz – Oğuzcan Akkaya,https://pixldata.com/,['makine öğrenmesi']
PixSelect,Kerem Yazıcı,https://www.pixselect.com.tr/,['görüntü i̇şleme']
Poltio,"Ahmet Tosun, Vildan Ay Dosluoglu, Banu Guler Kantarci, Guney Can Gokoglu",https://www.poltio.com/,"['genel', 'perakende', 'bankacılık', 'sigortacılık', 'e-ticaret', 'e-ticaret', 'otomotiv', 'akıllı şehir', 'sürdürülebilirlik', 'sağlık', 'telekom', 'eğitim', 'lojistik', 'güvenlik']"
Pons,Soner Hacihaliloglu – Prof. Ilker Hacihaliloglu,https://www.ponstech.co/,['öngörü ve veri analitiği']
Pooly,"Onur Çelik, Berat Ufukcan Temel",https://poolytech.com/,"['sürdürülebilirlik', 'mobilite']"
PragmaCraft,Fatih Mehmet Güler,https://www.pragmacraft.com/,['doğal dil i̇şleme']
PragmaTech Bilgi Teknolojileri,Uygar Mesudiyeli,https://www.pragmatech.com.tr/,"['makine öğrenmesi', 'öngörü ve veri analitiği', 'görüntü i̇şleme', 'nesnelerin i̇nterneti']"
Presify,"Alper Terciyanlı, Erman Terciyanlı, Rabia Şeyma Güneş, Onur Enginar",https://presify.ai/,['öngörü ve veri analitiği']
Progin,İsmail Cem Atalay,http://www.progin.com.tr/,['otonom araçlar']
PromiseQ,Tolga Ermiş ve Elias Kardel,https://www.promiseq.com/,['görüntü i̇şleme']
Publins,"Kemal Kozakçı, Nilay Aydemir",https://publins.com/,['öngörü ve veri analitiği']
Pusula AI,"Yasemin Oğuz, Barlas Oğuz, Yunus Sarıkaya ve Kayhan Eritmen",http://www.pusula.ai/,['öngörü ve veri analitiği']
Qdelivery,Jankat Mesut Sarı Özgür Kayım,https://www.qdelivery.app/,['optimizasyon']
QSoft Bilişim ve Teknoloji,"Murat Çim, Hilal Suerdem, Gürkan Taşkıran, Mehmet Bala, Sefa Suerdem, Gökhan Başman",https://www.qsoft.com.tr/,"['makine öğrenmesi', 'rpa(robotik süreç otomasyonu)', 'chatbot ve diyalogsal yapay zeka']"
Quin,Gonca Gülser,https://www.quinengine.com/,['öngörü ve veri analitiği']
Ranna,Erkan Vural,https://www.ranna.com.tr/,['chatbot ve diyalogsal yapay zeka']
Ratio Technologies,"Kurucu Ortaklar: M.Önder Tekeli, Bilge Kaan Kezer, Emin Batur Dizdar",https://ratiotechnologies.com.tr/,"['optimizasyon', 'makine öğrenmesi', 'görüntü i̇şleme']"
Ravinspect,"Aykut Kabaoğlu, Mehmet Boztepe",https://www.ravinspect.com/,"['makine öğrenmesi', 'optimizasyon', 'otonom araçlar', 'görüntü i̇şleme']"
Rebuslabs,Michael Boyman,https://rebuslabs.com/,"['nesnelerin interneti', 'makine öğrenmesi']"
refabric,"Eda Gürdamar, Safiye Dinçtürk, Hakan Baş, Seda Domaniç, Alemşah Öztürk, Mustafa Alpay",https://www.refabric.com/,['generative ai']
Rem Vision Lab,"Can Dörtkardeşler, Bülent Peker, Emre Haraççıoğlu, Rıdvan Çilli, Sezai Acer, Onur Turan",https://www.remvisionlab.com/,['generative ai']
Reminis,Özgür Özkan,https://www.reminisapp.com/,"['görüntü i̇şleme', 'pazar yeri']"
Research Ecosystems,"Tuğkan Tuğlular, Gültekin Gürdal, Tolga Ayav, Sönmez Çelik, Ahmet Şemsettin Özdemirden",https://www.researchecosystems.com/,"['makine öğrenmesi', 'optimizasyon', 'akıllı platformlar', 'öngörü ve veri analitiği']"
RNV AI,Gökhan Yücel,https://www.rnv.ai/,['öngörü ve veri analitiği']
Robbot,"İsmail Tunga, Sevinç Tunga, Elif Yarar, Yasin Başak",https://robbot.com.tr/,['rpa(robotik süreç otomasyonu)']
robfly,Mehmet ESEN,https://www.robfly.com/,"['makine öğrenmesi', 'akıllı platformlar', 'otonom araçlar', 'chatbot ve diyalogsal yapay zeka', 'arama motoru ve arama asistanı', 'görüntü i̇şleme', 'nesnelerin i̇nterneti']"
Robomotion,Faik Uygur,https://www.robomotion.io/,['rpa(robotik süreç otomasyonu)']
Robusta,Murat Dayanıklı,https://robusta.ai/,['rpa(robotik süreç otomasyonu)']
Roltek Teknoloji,"Buğra Demiriz, Serhat Evcim",https://www.roltek.com.tr/,"['makine öğrenmesi', 'öngörü ve veri analitiği', 'nesnelerin i̇nterneti']"
Romobility,"Ahmetcan Erdoğan, Erdinç Şenol",https://romobility.com/,['otonom araçlar']
Sanai,Yetkin Türken,https://www.sanai.com.tr/,"['optimizasyon', 'öngörü ve veri analitiği']"
Sanction Scanner,Fatih Coşkun,https://sanctionscanner.com/,['makine öğrenmesi']
Sargetek,"Dr. Mert Bal, Prof. Dr. Nafiz Arıca, Ümit Fırat, Ahmet Turgut Katı",https://www.sargetek.com/,"['makine öğrenmesi', 'öngörü ve veri analitiği', 'görüntü i̇şleme']"
Selvi Teknoloji,Şeref Burak Selvi,https://www.selvitechnology.com/,"['otonom araçlar', 'makine öğrenmesi']"
SenpaiGG,Berk Özer,https://senpai.gg/,"['görüntü i̇şleme', 'öngörü ve veri analitiği']"
Sensemore,"Çağlar Aksu, Can Aksu, Ozan Ertürk",https://sensemore.io/,['öngörü ve veri analitiği']
ServIT,Cemhan Baykal,https://www.servit.tech/,"['makine öğrenmesi', 'görüntü i̇şleme']"
SFM Yazılım,Ersan Turan,https://www.sfmyazilim.com/,"['makine öğrenmesi', 'öngörü ve veri analitiği', 'görüntü i̇şleme']"
Sightverse,Cengiz Akdeniz,https://sightverse.io/,"['makine öğrenmesi', 'öngörü ve veri analitiği', 'görüntü i̇şleme']"
Skysens,Emrah Mercan ve Burak Polat,https://skysens.io/,['nesnelerin interneti']
Smart Advise,Onur Yurtsever,https://www.smartadvice.com.tr/tr,['öngörü ve veri analitiği']
Smart Moles,Ömer Yuluğ,https://www.smartmoles.com/,['öngörü ve veri analitiği']
Smart Soil,Ozan Demirel,https://www.smartsoil.com.tr/,['nesnelerin i̇nterneti']
